WESTROCK,WRK,46,NYSE,MATERIALS
XPO LOGISTICS,XPO,88,NYSE,TRANSPORTATION
ARAMARK,ARMK,36,NYSE,BUSINESS SERVICES
CBS,CBS,58,NYSE,MEDIA
AES,AES,15,NYSE,ENERGY
WELLCARE HEALTH PLANS,WCG,275,NYSE,HEALTH
FIRSTENERGY,FE,38,NYSE,ENERGY
CONAGRA FOODS,CAG,35,NYSE,FOOD BEVERAGE
SYNNEX,SNX,80,NYSE,WHOLESALERS
CDW,CDW,90,NASDAQ,TECH
TEXTRON,TXT,57,NYSE,AEROSPACE & DEFENSE
WASTE MANAGEMENT,WM,90,NYSE,BUSINESS SERVICES
ILLINOIS TOOL WORKS,ITW,133,NYSE,INDUSTRIALS
OFFICE DEPOT,ODP,4,NASDAQ,RETAILING
MONSANTO,MON,1,CVE,CHEMICALS
COGNIZANT TECH SOLUTIONS,CTSH,71,NASDAQ,TECH
TEXAS INSTRUMENTS,TXN,97,NASDAQ,TECH
LINCOLN NATIONAL,LNC,66,NYSE,FINANCIALS
NEWELL BRANDS,NWL,20,NYSE,HOUSEHOLD PRODUCTS
LAND O'LAKES,PVT-6,0,PRIVATE,FOOD BEVERAGE
MARSH & MCLENNAN,MMC,87,NYSE,FINANCIALS
ECOLAB,ECL,160,NYSE,CHEMICALS
C.H. ROBINSON WORLDWIDE,CHRW,91,NASDAQ,TRANSPORTATION
LOEWS,L,49,NYSE,FINANCIALS
CBRE GROUP,CBG,44,NYSE,FINANCIALS
KINDER MORGAN,KMI,17,NYSE,ENERGY
KELLOGG,K,65,NYSE,FOOD BEVERAGE
WESTERN DIGITAL,WDC,48,NASDAQ,TECH
GUARDIAN LIFE INS. CO. OF AMERICA,PVT-7,0,PRIVATE,FINANCIALS
ROSS STORES,ROST,102,NASDAQ,RETAILING
L BRANDS,LB,35,NYSE,RETAILING
J.C. PENNEY,JCP,2,NYSE,RETAILING
FARMERS INSURANCE EXCHANGE,PVT-8,0,PRIVATE,FINANCIALS
REYNOLDS AMERICAN,RAI,73,LON,FOOD BEVERAGE
VIACOM,VIAB,32,NASDAQ,MEDIA
BECTON DICKINSON,BDX,237,NYSE,HEALTH
MICRON TECH,MU,41,NASDAQ,TECH
PRINCIPAL FINANCIAL,PFG,50,NASDAQ,FINANCIALS
ARCONIC,ARNC,21,NYSE,AEROSPACE & DEFENSE
NRG ENERGY,NRG,38,NYSE,ENERGY
VF,VFC,86,NYSE,APPAREL
DEVON ENERGY,DVN,34,NYSE,ENERGY
D.R. HORTON,DHI,38,NYSE,ENGINEERING & CONSTRUCTION
BED BATH & BEYOND,BBBY,15,NASDAQ,RETAILING
CONSOLIDATED EDISON,ED,78,NYSE,ENERGY
EDISON INTERNATIONAL,EIX,70,NYSE,ENERGY
SHERWIN-WILLIAMS,SHW,415,NYSE,CHEMICALS
NGL ENERGY PARTNERS,NGL,11,NYSE,ENERGY
DOMINION RESOURCES,D,71,NYSE,ENERGY
AMERIPRISE FINANCIAL,AMP,129,NYSE,FINANCIALS
ADP,ADP,148,NASDAQ,BUSINESS SERVICES
HILTON WORLDWIDE HOLDINGS,HLT,73,NYSE,"HOTELS, RESTAURANTS & LEISURE"
FIRST DATA,FDC,20,NYSE,BUSINESS SERVICES
HENRY SCHEIN,HSIC,87,NASDAQ,WHOLESALERS
"TOYS ""R"" US",PVT-9,0,PRIVATE,RETAILING
BB&T CORP.,BBT,50,NYSE,FINANCIALS
REINSURANCE GROUP OF AMERICA,RGA,148,NYSE,FINANCIALS
CORE-MARK HOLDING,CORE,30,NASDAQ,WHOLESALERS
BIOGEN,BIIB,331,NASDAQ,HEALTH
LAS VEGAS SANDS,LVS,56,NYSE,"HOTELS, RESTAURANTS & LEISURE"
STANLEY BLACK & DECKER,SWK,128,NYSE,HOUSEHOLD PRODUCTS
PARKER-HANNIFIN,PH,171,NYSE,INDUSTRIALS
STRYKER,SYK,170,NYSE,HEALTH
ESTEE LAUDER,EL,142,NYSE,HOUSEHOLD PRODUCTS
CELGENE,CELG,75,NASDAQ,HEALTH
BLACKROCK,BLK,424,NYSE,FINANCIALS
XCEL ENERGY,XEL,50,NASDAQ,ENERGY
CSX,CSX,72,NASDAQ,TRANSPORTATION
UNUM GROUP,UNM,38,NYSE,FINANCIALS
JACOBS ENGINEERING GROUP,JEC,80,NYSE,ENGINEERING & CONSTRUCTION
LENNAR,LEN,43,NYSE,ENGINEERING & CONSTRUCTION
GROUP 1 AUTOMOTIVE,GPI,57,NYSE,RETAILING
LEUCADIA NATIONAL,LUK,22,NYSE,FINANCIALS
ENTERGY,ETR,85,NYSE,ENERGY
PAYPAL HOLDINGS,PYPL,88,NASDAQ,BUSINESS SERVICES
APPLIED MATERIALS,AMAT,35,NASDAQ,TECH
VOYA FINANCIAL,VOYA,46,NYSE,FINANCIALS
MASTERCARD,MA,208,NYSE,BUSINESS SERVICES
PRICELINE GROUP,PCLN,2000,NASDAQ,TECH
LIBERTY INTERACTIVE,QVCA,0,None,RETAILING
AUTOZONE,AZO,790,NYSE,RETAILING
STATE STREET CORP.,STT,74,NYSE,FINANCIALS
DTE ENERGY,DTE,116,NYSE,ENERGY
L-3 COMMUNICATIONS,LLL,195,NYSE,AEROSPACE & DEFENSE
HOLLYFRONTIER,HFC,68,NYSE,ENERGY
PRAXTRANSPORTATION,PX,0,None,CHEMICALS
UNIVERSAL HEALTH SERVICES,UHS,130,NYSE,HEALTH
DISCOVER FINANCIAL SERVICES,DFS,70.74,NYSE,FINANCIALS
OCCIDENTAL PETROLEUM,OXY,73,NYSE,ENERGY
UNITED STATES STEEL,X,29,NYSE,MATERIALS
SEMPRA ENERGY,SRE,117,NYSE,ENERGY
BAXTER INTERNATIONAL,BAX,63,NYSE,HEALTH
W.W. GRAINGER,GWW,296,NYSE,WHOLESALERS
AUTOLIV,ALV,86,NYSE,MOTOR VEHICLES & PARTS
NORFOLK SOUTHERN,NSC,173,NYSE,TRANSPORTATION
BAKER HUGHES,BHI,54,FRA,ENERGY
ALLY FINANCIAL,ALLY,26,NYSE,FINANCIALS
SONIC AUTOMOTIVE,SAH,18,NYSE,RETAILING
OWENS & MINOR,OMI,9,NYSE,WHOLESALERS
HUNTSMAN,HUN,23,NYSE,CHEMICALS
LABORATORY CORP. OF AMERICA,LH,171,NYSE,HEALTH
MURPHY USA,MUSA,82,NYSE,RETAILING
ADVANCE AUTO PARTS,AAP,170,NYSE,RETAILING
FIDELITY NATIONAL FINANCIAL,FNF,33,NYSE,FINANCIALS
TRANSPORTATION PRODUCTS & CHEMICALS,APD,160,NYSE,CHEMICALS
HORMEL FOODS,HRL,44,NYSE,FOOD BEVERAGE
HERTZ GLOBAL HOLDINGS,HTZ,16,NYSE,RETAILING
MGM RESORTS INTERNATIONAL,MGM,28,NYSE,"HOTELS, RESTAURANTS & LEISURE"
CORNING,GLW,34,NYSE,INDUSTRIALS
REPUBLIC SERVICES,RSG,73,NYSE,BUSINESS SERVICES
ALCOA,AA,37,NYSE,MATERIALS
FIDELITY NATIONAL INFORMATION SERVICES,FIS,107,NYSE,BUSINESS SERVICES
PACIFIC LIFE,PVT-10,0,PRIVATE,FINANCIALS
SUNTRUST BANKS,STI,63,NYSE,FINANCIALS
LKQ,LKQ,28,NASDAQ,WHOLESALERS
BORGWARNER,BWA,40,NYSE,MOTOR VEHICLES & PARTS
BALL,BLL,48,NYSE,MATERIALS
CST BRANDS,CST,1,CVE,RETAILING
PUBLIC SERVICE ENTERPRISE GROUP,PEG,53,NYSE,ENERGY
EASTMAN CHEMICAL,EMN,84,NYSE,CHEMICALS
EBAY,EBAY,30,NASDAQ,TECH
MOHAWK INDUSTRIES,MHK,127,NYSE,HOUSEHOLD PRODUCTS
ONEOK,OKE,64,NYSE,ENERGY
FRONTIER COMMUNICATIONS,FTR,4,NASDAQ,TELECOM
NETFLIX,NFLX,327,NASDAQ,TECH
AMERICAN FAMILY INSURANCE GROUP,PVT-11,0,PRIVATE,FINANCIALS
THRIVENT FINANCIAL FOR LUTHERANS,PVT-12,0,PRIVATE,FINANCIALS
EXPEDIA,EXPE,128,NASDAQ,TECH
LITHIA MOTORS,LAD,85,NYSE,RETAILING
AVIS BUDGET GROUP,CAR,32,NASDAQ,RETAILING
RELIANCE STEEL & ALUMINUM,RS,82,NYSE,MATERIALS
GAMESTOP,GME,15,NYSE,RETAILING
TENNECO,TEN,35,NYSE,MOTOR VEHICLES & PARTS
O'REILLY AUTOMOTIVE,ORLY,342,NASDAQ,RETAILING
PETER KIEWIT SONS',PVT-13,0,PRIVATE,ENGINEERING & CONSTRUCTION
UNITED NATURAL FOODS,UNFI,23,NYSE,WHOLESALERS
SALESFORCE.COM,CRM,142,NYSE,TECH
BOSTON SCIENTIFIC,BSX,38,NYSE,HEALTH
NEWMONT MINING,NEM,33,NYSE,ENERGY
GENWORTH FINANCIAL,GNW,5,NYSE,FINANCIALS
LIVE NATION ENTERTAINMENT,LYV,57,NYSE,MEDIA
VERITIV,VRTV,32,NYSE,WHOLESALERS
NEWS CORP.,NWSA,14,NASDAQ,MEDIA
CROWN HOLDINGS,CCK,47,NYSE,MATERIALS
GLOBAL PARTNERS,GLP,20,NYSE,WHOLESALERS
PVH,PVH,125,NYSE,APPAREL
LEVEL 3 COMMUNICATIONS,LVLT,0,None,TELECOM
NAVISTAR INTERNATIONAL,NAV,32,NYSE,INDUSTRIALS
UNIVAR,UNVR,23,NYSE,WHOLESALERS
CAMPBELL SOUP,CPB,38,NYSE,FOOD BEVERAGE
DICK'S SPORTING GOODS,DKS,37,NYSE,RETAILING
WEYERHAEUSER,WY,27,NYSE,MATERIALS
MUTUAL OF OMAHA INSURANCE,PVT-14,0,PRIVATE,FINANCIALS
CHESAPEAKE ENERGY,CHK,4,NYSE,ENERGY
ANADARKO PETROLEUM,APC,58,NYSE,ENERGY
INTERPUBLIC GROUP,IPG,24,NYSE,BUSINESS SERVICES
J.M. SMUCKER,SJM,110,NYSE,FOOD BEVERAGE
STEEL DYNAMICS,STLD,42,NASDAQ,MATERIALS
FOOT LOCKER,FL,50,NYSE,RETAILING
WESTERN REFINING,PVT-15,0,PRIVATE,ENERGY
SPARTANNASH,SPTN,20,NASDAQ,WHOLESALERS
DEAN FOODS,DF,6,NYSE,FOOD BEVERAGE
ZIMMER BIOMET HOLDINGS,ZBH,118,NYSE,HEALTH
PULTEGROUP,PHM,25,NYSE,ENGINEERING & CONSTRUCTION
W.R. BERKLEY,WRB,78,NYSE,FINANCIALS
QUANTA SERVICES,PWR,35,NYSE,ENGINEERING & CONSTRUCTION
EOG RESOURCES,EOG,109,NYSE,ENERGY
CHARLES SCHWAB,SCHW,48,NYSE,FINANCIALS
EVERSOURCE ENERGY,ES,65,NYSE,ENERGY
ANIXTER INTERNATIONAL,AXE,69,NYSE,WHOLESALERS
EMCOR GROUP,EME,76,NYSE,ENGINEERING & CONSTRUCTION
ASSURANT,AIZ,102,NYSE,FINANCIALS
CENTERPOINT ENERGY,CNP,28,NYSE,ENERGY
HARRIS,HRS,153,NYSE,TECH
HD SUPPLY HOLDINGS,HDS,39,NASDAQ,WHOLESALERS
PPL,PPL,31,NYSE,ENERGY
QUEST DIAGNOSTICS,DGX,97,NYSE,HEALTH
WILLIAMS,WMB,26,NYSE,ENERGY
WEC ENERGY GROUP,WEC,68,NYSE,ENERGY
HERSHEY,HSY,108,NYSE,FOOD BEVERAGE
AGCO,AGCO,58,NYSE,INDUSTRIALS
RALPH LAUREN,RL,127,NYSE,APPAREL
MASCO,MAS,31,NYSE,HOUSEHOLD PRODUCTS
WESCO INTERNATIONAL,WCC,55,NYSE,WHOLESALERS
LIFEPOINT HEALTH,LPNT,65,NASDAQ,HEALTH
NATIONAL OILWELL VARCO,NOV,36,NYSE,ENERGY
KINDRED HEALTHCARE,KND,0,None,HEALTH
MOSAIC,MOS,35,NYSE,CHEMICALS
ALLIANCE DATA SYSTEMS,ADS,212,NYSE,BUSINESS SERVICES
COMPUTER SCIENCES CORPORATION,PVT-16,0,PRIVATE,TECH
HUNTINGTON INGALLS INDUSTRIES,HII,234,NYSE,AEROSPACE & DEFENSE
LEIDOS HOLDINGS,LDOS,65,NYSE,TECH
ERIE INSURANCE GROUP,PVT-17,0,PRIVATE,FINANCIALS
TESLA,TSLA,350,NASDAQ,MOTOR VEHICLES & PARTS
ASCENA RETAIL GROUP,ASNA,4,NASDAQ,RETAILING
DARDEN RESTAURANTS,DRI,111,NYSE,"HOTELS, RESTAURANTS & LEISURE"
HARMAN INTERNATIONAL INDUSTRIES,PVT-18,0,PRIVATE,INDUSTRIALS
NVIDIA,NVDA,213,NASDAQ,TECH
R.R. DONNELLEY & SONS,RRD,7,NYSE,MEDIA
FIFTH THIRD BANCORP,FITB,27,NASDAQ,FINANCIALS
QUINTILES TRANSNATIONAL HOLDINGS,Q,45,BMV,HEALTH
JONES LANG LASALLE,JLL,145,NYSE,FINANCIALS
DOVER,DOV,86,NYSE,INDUSTRIALS
SPIRIT AEROSYSTEMS HOLDINGS,SPR,87,NYSE,AEROSPACE & DEFENSE
RYDER SYSTEM,R,57,NYSE,TRANSPORTATION
A-MARK PRECIOUS METALS,AMRK,12,NASDAQ,MATERIALS
TRACTOR SUPPLY,TSCO,95,NASDAQ,RETAILING
SEALED TRANSPORTATION,SEE,35,NYSE,MATERIALS
AUTO-OWNERS INSURANCE,PVT-19,0,PRIVATE,FINANCIALS
YUM CHINA HOLDINGS,YUMC,37,NYSE,"HOTELS, RESTAURANTS & LEISURE"
CALPINE,CPN,78,BKK,ENERGY
OWENS-ILLINOIS,OI,17,NYSE,MATERIALS
TARGA RESOURCES,TRGP,53,NYSE,ENERGY
JETBLUE TRANSPORTATIONWAYS,JBLU,18,NASDAQ,FINANCIALS
JONES FINANCIAL,PVT-20,0,PRIVATE,TRANSPORTATION
FRANKLIN RESOURCES,BEN,31,NYSE,FINANCIALS
ACTIVISION BLIZZARD,ATVI,65,NASDAQ,TECH
J.B. HUNT TRANSPORT SERVICES,JBHT,111,NASDAQ,TRANSPORTATION
CONSTELLATION BRANDS,STZ,206,NYSE,FOOD BEVERAGE
NCR,NCR,28,NYSE,TECH
